Current Time,Light Sensor Input,Sound Sensor Input,Start Time
2020-05-11 14:32:34.569282,TRUE,1,2020-05-11 14:32:28.229233
2020-05-11 14:32:34.661322,TRUE,1,2020-05-11 14:32:28.229233
2020-05-11 14:32:38.430637,TRUE,1,2020-05-11 14:32:28.229233
2020-05-11 14:32:38.543668,TRUE,1,2020-05-11 14:32:28.229233
2020-05-11 14:32:38.600217,0,0,2020-05-11 14:32:28.229233
2020-05-11 14:32:41.777879,1,0,2020-05-11 14:32:28.229233
2020-05-11 14:32:41.865934,1,0,2020-05-11 14:32:28.229233
2020-05-11 14:32:43.832425,0,0,2020-05-11 14:32:28.229233
2020-05-11 14:32:46.989434,1,0,2020-05-11 14:32:28.229233
2020-05-11 14:32:47.091019,1,0,2020-05-11 14:32:28.229233
2020-05-11 14:32:49.070744,0,0,2020-05-11 14:32:28.229233
2020-05-11 14:32:52.130700,1,0,2020-05-11 14:32:28.229233
2020-05-11 14:32:52.224337,0,0,2020-05-11 14:32:28.229233
2020-05-11 14:32:54.557068,1,0,2020-05-11 14:32:28.229233
2020-05-11 14:32:54.673635,1,0,2020-05-11 14:32:28.229233
2020-05-11 14:32:57.843812,TRUE,1,2020-05-11 14:32:28.229233
2020-05-11 14:32:57.935999,TRUE,1,2020-05-11 14:32:28.229233
2020-05-11 14:33:01.470462,TRUE,1,2020-05-11 14:32:28.229233
2020-05-11 14:33:01.559854,TRUE,1,2020-05-11 14:32:28.229233
2020-05-11 14:33:05.502436,TRUE,1,2020-05-11 14:32:28.229233
2020-05-11 14:33:05.591112,TRUE,1,2020-05-11 14:32:28.229233
2020-05-11 14:33:05.676746,0,0,2020-05-11 14:32:28.229233
2020-05-11 14:33:08.135172,0,0,2020-05-11 14:32:28.229233
2020-05-11 14:33:08.226071,1,0,2020-05-11 14:32:28.229233
2020-05-11 14:33:11.795764,TRUE,1,2020-05-11 14:32:28.229233
2020-05-11 14:33:11.913437,TRUE,1,2020-05-11 14:32:28.229233
2020-05-11 14:33:17.043723,TRUE,1,2020-05-11 14:32:28.229233
2020-05-11 14:33:17.132820,TRUE,1,2020-05-11 14:32:28.229233
2020-05-11 14:33:19.646379,TRUE,1,2020-05-11 14:32:28.229233
2020-05-11 14:33:19.775291,TRUE,1,2020-05-11 14:32:28.229233
2020-05-11 14:33:19.823114,0,0,2020-05-11 14:32:28.229233
2020-05-11 14:33:22.286638,1,0,2020-05-11 14:32:28.229233
2020-05-11 14:33:22.374415,1,0,2020-05-11 14:32:28.229233
2020-05-11 14:33:25.022390,TRUE,1,2020-05-11 14:32:28.229233
2020-05-11 14:33:25.129294,TRUE,1,2020-05-11 14:32:28.229233
2020-05-11 14:33:28.371680,TRUE,1,2020-05-11 14:32:28.229233
