Current Time,Light Sensor Input,Sound Sensor Input,Start Time
2020-05-11 10:31:23.181151,TRUE,1,2020-05-11 10:31:23.070889
2020-05-11 10:31:23.253867,TRUE,1,2020-05-11 10:31:23.070889
2020-05-11 10:31:23.510070,TRUE,1,2020-05-11 10:31:23.070889
2020-05-11 10:31:23.548669,TRUE,1,2020-05-11 10:31:23.070889
2020-05-11 10:31:27.209898,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:31:29.335224,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:31:32.441192,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:31:34.561143,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:31:34.635307,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:31:37.664459,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:31:39.818785,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:31:39.894540,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:31:42.917637,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:31:45.354895,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:31:45.428186,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:31:47.502085,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:31:49.873045,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:31:51.995844,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:31:54.357467,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:31:54.446052,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:31:56.497222,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:31:58.858215,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:32:00.997475,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:32:03.367587,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:32:05.492367,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:32:07.852494,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:32:07.940659,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:32:09.992575,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:32:12.353138,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:32:12.431542,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:32:14.492814,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:32:16.837820,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:32:16.926807,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:32:18.978250,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:32:21.338652,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:32:21.426880,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:32:23.478987,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:32:23.593262,FALSE,1,2020-05-11 10:31:23.070889
2020-05-11 10:32:24.275933,FALSE,1,2020-05-11 10:31:23.070889
2020-05-11 10:32:24.353488,FALSE,1,2020-05-11 10:31:23.070889
2020-05-11 10:32:25.840185,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:32:25.924826,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:32:27.980616,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:32:30.340881,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:32:30.432518,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:32:32.480913,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:32:34.866483,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:32:35.010605,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:32:37.006132,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:32:39.396351,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:32:39.501243,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:32:41.525424,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:32:43.885959,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:32:44.026674,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:32:46.026213,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:32:48.389454,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:32:50.553050,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:32:52.925197,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:32:53.052041,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:32:55.048995,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:32:57.526226,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:32:57.648970,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:32:59.649280,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:33:02.126530,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:33:02.238750,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:33:04.249517,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:33:06.710412,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:33:06.788453,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:33:08.833157,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:33:11.310983,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:33:11.434462,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:33:13.433457,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:33:15.894856,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:33:18.025215,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:33:20.503809,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:33:22.625515,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:33:23.399482,FALSE,1,2020-05-11 10:31:23.070889
2020-05-11 10:33:23.511617,FALSE,1,2020-05-11 10:31:23.070889
2020-05-11 10:33:23.561175,FALSE,1,2020-05-11 10:31:23.070889
